class	nfur.D6d.1	nfur.D6d.2	nfur.D6d.3	nfur.D6d.4	nfur.NonD.2	nfur.NonD.3	nfur.NonD.4	pvalue	padj	FC
DG_MUFA	0.349751676731942	0.371602484654565	0.388142801467041	0.400157905752839	0.422418929002665	0.370331892451156	0.35798261143698	0.801355418153978	0.812040157062698	-0.0233724075632312
DG_PUFA	0.28419271532656	0.290002132065892	0.312538954974187	0.307298324854711	0.376103883665041	0.377893467398282	0.34932910252666	0.00387887336231954	0.011560563746521	-0.301055564762906
DG_PUFA_2	0.0104489207778974	0.0123835183369108	0.0121568980536583	0.0138947864508418	0.0130337056087636	0.00936347576504707	0.00982644440167722	0.344308914488654	0.387666333350188	0.186209655503286
DG_PUFA_4	0.0325265430648217	0.0346313921407148	0.0299256615575909	0.0322489111985237	0.0288939658674129	0.0352809691239931	0.0344675118336569	0.821923287600743	0.827366488180881	-0.0242330458569272
DG_PUFA_6	0.241217251483841	0.242987221588266	0.270456395362937	0.261154627205345	0.334176212188864	0.333249022509241	0.305035146291326	0.00413173336375148	0.012077374447889	-0.352110492185275
DG_SFA	44.4575101951681	65.5604624447955	36.0576283083073	40.3082949161665	18.0870845974078	13.1659887146092	12.7246966984733	0.0135260031021349	0.026372039904543	1.66839335672168
DG_VeryLongChainFA	0.385029283988496	0.385247951088878	0.362986449194867	0.393239186608192	0.381562483443848	0.367890305266987	0.341632374369021	0.267530511939512	0.305749156502299	0.0694290899936295
PC_EtherLinked	0.353682034993962	0.341692734496478	0.327231270663682	0.356572504637988	0.324055664054547	0.392400854911675	0.397579033016448	0.379982213785926	0.424686003643094	-0.107023536704199
PC_LongChainFA	22.6113386039351	22.4852184262523	21.9651735108444	22.5642392919283	21.8207818704252	21.9627314561008	22.0611992610274	0.0477739655734037	0.0756421121578892	0.0298117309437304
PC_MUFA	11.053562000365	10.9980386278543	10.7719101932685	11.0648257475157	10.4048817748256	10.3289327429596	10.4562278325313	0.00116071188556892	0.00476832990828312	0.0777145801138157
PC_MediumChainFA	0.532452646243168	0.378335315433483	0.354139978827721	0.539504091040238	0.632779082254736	0.681700850917325	0.690297247724691	0.0164084416725466	0.0300491943882781	-0.566934596331199
PC_PUFA	5.79054743539244	5.31826196770498	5.36032902073213	5.79988531316936	6.30683201957116	6.44695859457815	6.66237974542331	0.00296013240435086	0.00978130707524632	-0.217257858823901
PC_PUFA_2	0.384278065135967	0.390949772491285	0.395284268141379	0.407945465366035	0.361617640222467	0.308999788103005	0.326024094504461	0.0453919881121739	0.0726271809794782	0.248331395284486
PC_PUFA_3	0.0706720232411739	0.0641655831570204	0.0734174791246845	0.0795075326737347	0.127249213785615	0.0887317802220617	0.0953924114547238	0.106859460165754	0.134236677233013	-0.528804036800082
PC_PUFA_4	1.06515719753266	0.921194538228684	0.875319151800952	1.09521194687878	1.01044906037603	1.07920726745971	1.09263805692445	0.2922920550556	0.331555166928741	-0.100740453706689
PC_PUFA_5	1.95871561719913	1.72098605987479	1.71575050751731	1.92638172094711	2.19521902360312	2.37813713455996	2.43228227714684	0.00442410939711288	0.0126880118558709	-0.351348984348338
PC_PUFA_6	2.31172453228351	2.2209660139532	2.30055761414781	2.2908386473037	2.61229708158393	2.59188262423342	2.71604290539284	0.00319610265141933	0.0099144408778722	-0.210898306836079
PC_SFA	9.59952988676731	9.55074785833759	9.20556353205247	9.53784523432968	9.19103916539962	9.26169083820616	9.16677638344199	0.0544797406119083	0.0799153817932702	0.0412324647733191
