"","FattyAcid","D1m_PreD.pvalue","D1m_PreD.FC","D1m_NonD.pvalue","D1m_NonD.FC","D1m_Dexit.pvalue","D1m_Dexit.FC","D1m_D6d.pvalue","D1m_D6d.FC","D6d_PreD.pvalue","D6d_PreD.FC","D6d_NonD.pvalue","D6d_NonD.FC","D6d_Dexit.pvalue","D6d_Dexit.FC","NonD_PreD.pvalue","NonD_PreD.FC","NonD_Dexit.pvalue","NonD_Dexit.FC","PreDY_Dexit.pvalue","PreDY_Dexit.FC","NfurY_NfurO.pvalue","NfurY_NfurO.FC","Nfur_Ast.pvalue","Nfur_Ast.FC","D6d.mean.FC","D1m.mean.FC"
"LPC_VeryLongChainFA","LPC_VeryLongChainFA",0.0317938137101711,0.486766565953356,0.000977653479034662,1.14579841740057,8.30492847411374e-05,1.16050970717513,0.784441008281272,0.021020906281724,0.0411455142506786,0.465745659671632,0.000138677936564999,1.12477751111884,6.21802243050636e-05,1.13948880089341,0.0505610891077914,-0.659031851447212,0.911997962982337,0.0147112897745651,0.0404792768616131,0.673743141221777,0.131657947549174,-1.23439075318358,0.00346898615656449,-1.0358030625248,0.795261585395236,0.816282491676963
"LPE_LongChainFA","LPE_LongChainFA",0.00232250383117773,1.1011369711789,0.00192828300125599,1.26227631973208,0.00118585637879523,1.36469735006041,0.660675347496249,0.132408377192958,0.0803157895155399,0.968728593985943,0.0630859219867951,1.12986794253912,0.0544899342742741,1.23228897286745,0.143830098207298,-0.16113934855318,0.403350603467739,0.102421030328325,0.0556433140563525,0.263560378881505,0.0166508777218835,-0.516796887453903,0.202453507295446,0.116172908348786,1.04929826826253,1.18170664545549
"LPE_MUFA","LPE_MUFA",8.09903678320488e-06,1.55317989840521,1.25198866491876e-05,1.86530671753463,3.27993404783821e-06,2.0125657786804,0.00433618570445476,0.405234439711487,0.00032019270069174,1.14794545869372,0.000380187319591646,1.46007227782314,0.0001713517333642,1.60733133896892,0.15704943681605,-0.312126819129418,0.444732049599814,0.147259061145774,0.0714255560936364,0.459385880275192,0.0106127294453719,-0.709374396701127,0.178589003659225,0.441726984891516,1.30400886825843,1.70924330796992
"LPE_PUFA","LPE_PUFA",0.192993773655111,0.213482811880117,0.00125470636728177,0.405221177904762,2.96909484995921e-05,1.05945192194761,0.174666822470491,-0.495716595578287,0.0945261201448356,0.709199407458404,0.0654958076278792,0.900937773483048,0.0264065251021538,1.55516851752589,0.287522691234481,-0.191738366024644,0.0013110022048827,0.654230744042846,0.0126080673781497,0.84596911006749,0.0180040843693863,-0.804374982408922,0.00168943852126306,-0.782814181468111,0.805068590470726,0.309351994892439
"LPE_PUFA_6","LPE_PUFA_6",0.238883749644354,0.204992212334786,0.0177454191457231,0.253451127932065,6.49279565131441e-05,0.955674976241275,0.139900294363634,-0.58966016262029,0.0815298925687417,0.794652374955076,0.0776262438849448,0.843111290552355,0.0286696250808866,1.54533513886156,0.776907536493125,-0.0484589155972796,0.0009917697696911,0.70222384830921,0.0218794654213597,0.750682763906489,0.0175198751924228,-0.914590020664303,0.00105742646217325,-0.902811925498719,0.818881832753716,0.229221670133425
"LPE_SFA","LPE_SFA",0.00559276650919489,1.2604953739837,0.00668295371038955,0.987446684636855,0.00463987884470586,1.15819044768553,0.94577713414573,0.0263365984517323,0.0948081206824698,1.23415877553197,0.133525933879971,0.961110086185123,0.106166780225091,1.1318538492338,0.0742940077250874,0.273048689346848,0.220204711847366,0.170743763048674,0.37131874388458,-0.102304926298174,0.0125615249477069,-0.740799533320767,0.0173625309906764,0.391997726957031,1.09763443085855,1.12397102931028
"LPE_VeryLongChainFA","LPE_VeryLongChainFA",0.282047643138505,0.178463881513198,0.0129280431691526,0.283958305572629,7.31145816592321e-05,0.989974355409769,0.15231959371285,-0.573794132052943,0.0952171774305066,0.752258013566141,0.079467456620441,0.857752437625572,0.0299011712860051,1.56376848746271,0.534253062237036,-0.105494424059431,0.000945360706521506,0.70601604983714,0.0152276237632856,0.811510473896572,0.015367172103436,-0.87180352502073,0.0015726977827719,-0.82005391870445,0.805005225595856,0.231211093542914
"PC_LongChainFA","PC_LongChainFA",0.0776162954887894,0.161355388980457,0.437585379142438,-0.0304213008104064,0.0260582019083205,0.145161378180818,0.170109434694258,-0.0602330317541369,0.0341240798321042,0.221588420734594,0.0477739655734037,0.0298117309437304,0.00569170497543645,0.205394409934955,0.0525441251459337,0.191776689790864,0.0124156723472605,0.175582678991224,0.837653973167741,-0.0161940107996395,0.0296701567850669,-0.250645485140413,0.254069012002215,-0.11461504448913,0.125700075839162,0.0654670440850253
"PC_PUFA_2","PC_PUFA_2",0.201781132695081,0.0719480955855517,0.0794809019432131,0.183178476159492,0.0645522159852985,0.120996927607625,0.222027706846082,-0.0651529191249945,0.00211096400330345,0.137101014710546,0.0453919881121739,0.248331395284486,0.000701014431332491,0.18614984673262,0.222027147857922,-0.11123038057394,0.450729248645212,-0.0621815485518668,0.153797549727697,0.0490488320220738,0.00123769292514015,-0.255566120723643,0.000319654539220816,0.296844504404928,0.192716204997516,0.127563285872522
"PC_PUFA_3","PC_PUFA_3",0.00255148473584676,-0.649569610386191,0.0906316456140192,-0.583211998142669,0.00378724847494381,-0.378377622707765,0.593054944199033,-0.0544079613425871,0.00369500847158289,-0.595161649043604,0.106859460165754,-0.528804036800082,0.00460025444295362,-0.323969661365178,0.73759077311432,-0.0663576122435221,0.367051606974106,0.204834375434905,0.0451686148949065,0.271191987678426,0.00941736825288962,0.443417012538069,0.64652192737748,-0.0447083496241166,-0.561982842921843,-0.61639080426443
"PC_ShortChainFA","PC_ShortChainFA",0.435541410518602,0.221076760765293,0.080750811218005,-1.03993535608194,0.010338711195248,-0.791368052215857,0.00398674468223882,-1.12921479756153,0.002444420553912,1.35029155832682,0.763778309570367,0.0892794414795858,0.122729165903426,0.337846745345671,0.0621425374958379,1.26101211684724,0.46032120676579,0.248567303866085,0.00472010067616537,-1.01244481298115,0.0058734425063852,-0.901394345480123,0.558929146428071,-0.246430559821896,0.719785499903203,-0.409429297658323
