"","FattyAcid","D1m_PreD.pvalue","D1m_PreD.FC","D1m_NonD.pvalue","D1m_NonD.FC","D1m_Dexit.pvalue","D1m_Dexit.FC","D1m_D6d.pvalue","D1m_D6d.FC","D6d_PreD.pvalue","D6d_PreD.FC","D6d_NonD.pvalue","D6d_NonD.FC","D6d_Dexit.pvalue","D6d_Dexit.FC","NonD_PreD.pvalue","NonD_PreD.FC","NonD_Dexit.pvalue","NonD_Dexit.FC","PreDY_Dexit.pvalue","PreDY_Dexit.FC","NfurY_NfurO.pvalue","NfurY_NfurO.FC","Nfur_Ast.pvalue","Nfur_Ast.FC","D6d.mean.FC","D1m.mean.FC"
"PE_VeryLongChainFA","PE_VeryLongChainFA",0.196491349726519,-0.198160450923054,0.00018627251255239,-0.720450710170726,0.000220976614355866,-0.429400790289253,0.054932621281562,-0.138143400318894,0.642364935170509,-0.0600170506041597,0.000611522083584318,-0.582307309851832,0.000460124255181548,-0.291257389970359,0.00618078564586705,0.522290259247672,0.00631385894917279,0.291049919881473,0.106227791312292,-0.231240339366199,0.17162723565506,-0.199455067384625,0.0125348674014721,-0.427421608291814,-0.321162180227996,-0.45930558054689
"PG_LongChainFA","PG_LongChainFA",0.34956596474688,0.212046468284438,0.000322705999428436,1.81558107060426,1.29140040685e-05,1.89878272348083,0.0811695556012169,0.197762930551232,0.950220501957066,0.0142835377332063,0.000785646075203825,1.61781814005303,6.00467176950624e-05,1.7010197929296,0.0171013350331077,-1.60353460231982,0.680717631637207,0.0832016528765754,0.0126079979982995,1.6867362551964,0.199384826187219,-1.10962742195611,0.0101058575322277,-1.07709838826242,0.816050838893118,1.01381376944435
"PG_MUFA","PG_MUFA",0.0183553960698107,0.377844579090286,0.288135050571728,-0.132867126469044,0.0154358957702661,-0.31615934282505,0.0128434948539072,-0.317385970689611,0.000529035342550645,0.695230549779897,0.148365710494015,0.184518844220567,0.988558085996165,0.00122662786456076,0.017642581838633,0.510711705559329,0.153628975299206,-0.183292216356007,0.000608872175799529,-0.694003921915336,0.0134123024956532,-0.810591882109311,0.0170700813122036,-0.357888305897129,0.439874697000232,0.122488726310621
"PG_PUFA","PG_PUFA",0.466897804984562,-0.194599769730069,0.666134623474802,-0.0739606116384592,0.326924642093002,0.198592567108036,0.0644775491670272,-0.403640093266781,0.351363305994686,0.209040323536712,0.0546789454375007,0.329679481628322,0.0140244069669905,0.602232660374817,0.581427250062646,-0.120639158091609,0.000254177866990551,0.272553178746495,0.163481638765886,0.393192336838104,0.0275237634333675,-0.563957503112652,0.000356280889227987,-1.27866789735275,0.269359902582517,-0.134280190684264
"PG_PUFA_5","PG_PUFA_5",0.859920822926033,0.0685483575075411,0.122033587983078,-0.556522094872636,0.184119007602037,-0.466528853961871,0.057485059142236,-0.898576076093162,0.0434469177196845,0.967124433600704,0.266308612226038,0.342053981220526,0.191487933199903,0.432047222131292,0.0115487185491759,0.625070452380178,0.320047092873315,0.0899932409107658,0.0243140668949155,-0.535077211469412,0.926647256227024,-0.0429822235998424,0.000184235007529046,-1.21143775248545,0.654589207410615,-0.243986868682547
"PG_PUFA_6","PG_PUFA_6",0.431374154194548,-0.20936169199165,0.811918721091932,-0.0381710751367613,0.217803418299276,0.251679695287603,0.068805843432154,-0.366752137019115,0.473184923196431,0.157390445027465,0.0409538102637506,0.328581061882354,0.00886477614842181,0.618431832306719,0.457039317281736,-0.171190616854889,0.000103863358901674,0.289850770424365,0.128144527452306,0.461041387279253,0.0246033934917591,-0.586034779551366,0.000393993426324468,-1.28200596162369,0.242985753454909,-0.123766383564206
"PG_SFA","PG_SFA",0.355325487334336,0.210471325402961,0.00033842899769699,1.85770186526836,1.29354957797515e-05,1.95265514531979,0.0777039331346123,0.204006143757855,0.97764878096761,0.0064651816451064,0.000831418871792681,1.6536957215105,6.28447871395785e-05,1.74864900156193,0.0166986100487097,-1.6472305398654,0.648753284936131,0.0949532800514296,0.0122165987602248,1.74218381991683,0.200824186768656,-1.11204530844739,0.0101653231124039,-1.08216407442604,0.830080451577803,1.03408659533566
"PG_VeryLongChainFA","PG_VeryLongChainFA",0.466897804984562,-0.194599769730069,0.666134623474802,-0.0739606116384592,0.326924642093002,0.198592567108036,0.0644775491670272,-0.403640093266781,0.351363305994686,0.209040323536712,0.0546789454375007,0.329679481628322,0.0140244069669905,0.602232660374817,0.581427250062646,-0.120639158091609,0.000254177866990551,0.272553178746495,0.163481638765886,0.393192336838104,0.0275237634333675,-0.563957503112652,0.000356280889227987,-1.27866789735275,0.269359902582517,-0.134280190684264
"PI_EtherLinked","PI_EtherLinked",0.00135117200979786,-0.897803411829046,0.0137744855279776,-0.724691865312062,0.0904651931738066,-0.29505999433799,0.0652898911065608,-0.339417436044939,0.0133053838640504,-0.558385975784108,0.088426089918973,-0.385274429267123,0.448762730680512,0.0443574417069487,0.275771690291335,-0.173111546516985,0.0636758969505365,0.429631870974071,0.00772321201502644,0.602743417491056,0.968874121151121,-0.00645383685828408,0.0177265587041575,-0.341614963810973,-0.471830202525615,-0.811247638570554
"PI_LongChainFA","PI_LongChainFA",3.67625121193256e-05,0.593325702065972,0.00124323013419931,0.303553614562277,0.000406858462640447,0.376280799821637,0.00463832762849021,0.219404307296682,0.000317954082679482,0.373921394769291,0.0354299324807037,0.0841493072655952,0.00229337403426065,0.156876492524956,0.00118965058338865,0.289772087503695,0.0822703160624326,0.0727271852593606,0.00368411427118457,-0.217044902244335,0.0368372517285449,-0.208353344883096,0.00119834952035868,-0.599566751411231,0.229035351017443,0.448439658314124
"PI_MUFA","PI_MUFA",0.00272810328519796,-0.734127859292692,0.000897958395065583,-1.12169734308927,8.67826932247929e-05,-1.04231263671411,0.0601150576267242,-0.334681114014406,0.0249133514650519,-0.399446745278287,0.00196266200048213,-0.787016229074864,0.000520736978079365,-0.707631522699707,0.0190272291146648,0.387569483796578,0.431194167541494,0.0793847063751568,0.0263122241918239,-0.308184777421421,0.442176781897219,-0.0939353443846554,0.000325870769092095,-0.794012243562936,-0.593231487176575,-0.927912601190981
