class	nfur.D1m.1	nfur.D1m.2	nfur.D1m.3	nfur.D1m.4	nfur.NonD.2	nfur.NonD.3	nfur.NonD.4	pvalue	padj	FC
LPC_SFA	0.0746898035694215	0.0844476723215553	0.0906271344217836	0.089746304752326	0.0398676146879573	0.0362347594720385	0.0371403026342638	0.00050940724832882	0.0019527474011111	1.16900270096204
LPC_VeryLongChainFA	0.0443672764842133	0.049164420894852	0.0531930928961682	0.053822105326219	0.0227328624819152	0.023032334920333	0.0222111014214254	0.000977653479034662	0.00280383639270318	1.14579841740057
DG_LongChainFA	34.9265907386904	34.2275694534606	43.6761263537909	39.5843349475507	18.5040449266316	13.5463237691916	13.0903760380679	0.000436908316652543	0.0019527474011111	1.34046168584167
DG_MUFA	0.247332834587229	0.220251954864822	0.288749748048536	0.296675975847543	0.422418929002665	0.370331892451156	0.35798261143698	0.00781173092937784	0.0134929897871072	-0.543071331081972
DG_PUFA	0.17040597437042	0.150892637233404	0.213097047364749	0.217592670700232	0.376103883665041	0.377893467398282	0.34932910252666	0.000351871667883985	0.00167139042244893	-0.968115042182436
DG_PUFA_2	0.00826867083056985	0.00604617513151655	0.0101159129199732	0.00861627028658818	0.0130337056087636	0.00936347576504707	0.00982644440167722	0.158426337942099	0.182430328539387	-0.378635749805183
DG_PUFA_4	0.0268488925928507	0.0221558151475962	0.0408622298507793	0.029875669117454	0.0288939658674129	0.0352809691239931	0.0344675118336569	0.541960374725281	0.568123979022363	-0.135381408506832
DG_PUFA_6	0.135288410947	0.122690646954291	0.162118904593996	0.17910073129619	0.334176212188864	0.333249022509241	0.305035146291326	0.000116113934697216	0.00101131026495461	-1.11364249490069
DG_SFA	34.7396577470412	34.0625380199558	43.4239974400163	39.3629738024207	18.0870845974078	13.1659887146092	12.7246966984733	0.000404405586707427	0.00186271664180391	1.37028280270981
DG_VeryLongChainFA	0.230805817308413	0.206113158593458	0.249717881638628	0.292907501417795	0.381562483443848	0.367890305266987	0.341632374369021	0.00325576564992658	0.00706966255412628	-0.570618480857561
PC_EtherLinked	0.303351590621882	0.319977703133927	0.287820768207704	0.316728776415688	0.324055664054547	0.392400854911675	0.397579033016448	0.101905239963657	0.129079970620632	-0.274664564112006
PC_LongChainFA	21.0758660466167	22.3817279811725	20.2394511876097	22.264045792345	21.8207818704252	21.9627314561008	22.0611992610274	0.437585379142438	0.471723245600359	-0.0304213008104064
PC_MUFA	10.5106934819173	11.1555695193974	10.0859127669909	11.1260568223703	10.4048817748256	10.3289327429596	10.4562278325313	0.300810849623831	0.328944238437571	0.0441224292833052
PC_MediumChainFA	0.478490419354795	0.500344829706071	0.429584726710345	0.491740642917487	0.632779082254736	0.681700850917325	0.690297247724691	0.000755516724075459	0.0024121083094604	-0.492358024576184
PC_PUFA	5.51741939080172	5.75341036060936	4.99199584344622	5.67247286843924	6.30683201957116	6.44695859457815	6.66237974542331	0.00521756298825315	0.0101041341156605	-0.23904183473389
PC_PUFA_2	0.358703758336466	0.367316979660339	0.409134086193115	0.373604369855552	0.361617640222467	0.308999788103005	0.326024094504461	0.0794809019432131	0.104017994111328	0.183178476159492
PC_PUFA_3	0.0662622554790218	0.0647367746410294	0.0796604800680301	0.0664528822822745	0.127249213785615	0.0887317802220617	0.0953924114547238	0.0906316456140192	0.115764791036394	-0.583211998142669
PC_PUFA_4	1.02737170932976	1.07190396245279	0.990428865116677	1.05605959170651	1.01044906037603	1.07920726745971	1.09263805692445	0.479749141771448	0.506401871869861	-0.0334667633325503
PC_PUFA_5	1.8606753663899	1.95470667495916	1.59113068489278	1.9164025536652	2.19521902360312	2.37813713455996	2.43228227714684	0.00576933589577656	0.0106943787336346	-0.351135925944654
PC_PUFA_6	2.20440630126656	2.29474596889605	1.92164172717562	2.25995347092971	2.61229708158393	2.59188262423342	2.71604290539284	0.00682536014762845	0.0120634272376689	-0.282759206176652
PC_SFA	8.81814091074756	9.44007078948561	8.51577259122906	9.34296466153625	9.19103916539962	9.26169083820616	9.16677638344199	0.479075483105627	0.506401871869861	-0.0280490118122805
PC_ShortChainFA	2.47929236298981e-05	1.48755582199734e-05	1.96220830265017e-05	1.58066322115386e-05	2.73590387019828e-05	3.84000664218308e-05	5.00484056897864e-05	0.080750811218005	0.104017994111328	-1.03993535608194
PC_VeryLongChainFA	3.59298361068492	3.78485396737346	3.20933550886381	3.70025904366186	3.7717850445909	3.78444601768123	3.930304968334	0.135669861943007	0.161107961057321	-0.100234647243319
MG_LongChainFA	531.275768197908	635.457178847045	486.604246677187	631.680548078445	218.558683523788	209.967619502748	193.64182067366	0.00174587630626185	0.00442288664253002	1.46179148119465
