class	nfur.D1m.1	nfur.D1m.2	nfur.D1m.3	nfur.D1m.4	nfur.Dexit.1	nfur.Dexit.2	nfur.Dexit.3	nfur.Dexit.4	pvalue	padj	FC
LPC_PUFA_2	0.00142830027483689	0.00134021141970134	0.00151693105859516	0.00154528784948169	0.000406955309424062	0.000486428861601493	0.000479741235973131	0.000476665276558139	4.21620875356121e-05	0.000305173205019668	1.65631463824242
LPC_PUFA_5	0.000411378608724453	0.000460599866402972	0.000309904016458322	0.000514830662785279	0.00017737869571459	0.000188331028249554	0.000295143327713606	0.000226283390529064	0.0108360694853549	0.0163077481363756	0.93551476985138
LPC_PUFA_6	0.00396718580210778	0.0046609456537516	0.0026724787042901	0.00568783585544902	0.00130613591722391	0.00137302243886071	0.00244916175531141	0.00197968149732266	0.022394181572629	0.0312285834774277	1.25703797789306
LPC_SFA	0.0746898035694215	0.0844476723215553	0.0906271344217836	0.089746304752326	0.0300336709600276	0.039750503486378	0.0314873779577038	0.0401009114846992	6.24634743566015e-05	0.000411210391249913	1.26395681333624
LPC_VeryLongChainFA	0.0443672764842133	0.049164420894852	0.0531930928961682	0.053822105326219	0.0185495762544736	0.0244302978869823	0.0200006543813156	0.0267350189168154	8.30492847411374e-05	0.000474689250351458	1.16050970717513
DG_LongChainFA	34.9265907386904	34.2275694534606	43.6761263537909	39.5843349475507	11.1980987866957	13.7565756900247	7.71808402936964	13.0752566641993	0.000151785283566262	0.000635871291422405	1.73622025370164
DG_MUFA	0.247332834587229	0.220251954864822	0.288749748048536	0.296675975847543	0.374495455147994	0.355639852561735	0.269422194602475	0.370816701191667	0.044484060634821	0.0540926177319423	-0.380050058468671
DG_PUFA	0.17040597437042	0.150892637233404	0.213097047364749	0.217592670700232	0.381057623803689	0.350538241943987	0.292654017842635	0.375640227754456	0.000932712279670497	0.00244434942258475	-0.896531405281225
DG_PUFA_2	0.00826867083056985	0.00604617513151655	0.0101159129199732	0.00861627028658818	0.0127974109166176	0.0112458930952087	0.00742327946507399	0.0112769426709795	0.143420845532685	0.155714060864058	-0.371185345239025
DG_PUFA_4	0.0268488925928507	0.0221558151475962	0.0408622298507793	0.029875669117454	0.0578397753922736	0.0538616975551119	0.0499113029740349	0.0525005315619605	0.00535491394416907	0.0089223658017734	-0.838437882198997
