class	nfur.D6d.1	nfur.D6d.2	nfur.D6d.3	nfur.D6d.4	nfur.Dexit.1	nfur.Dexit.2	nfur.Dexit.3	nfur.Dexit.4	pvalue	padj	FC
PI_PUFA_3	3.67372170683723e-05	2.88371920875738e-05	6.17784403104342e-07	1.00915355821984e-05	0.00105524784658737	0.000868961890916632	0.000917751819309887	0.000906625929202216	0.000118374633041849	0.00112730043689793	-5.61882789076788
PI_PUFA_4	0.609649423643896	0.664256347945332	0.626678804255262	0.621879004699744	0.454437513413721	0.474196816538589	0.427965265036653	0.475639117917126	4.12657047951931e-05	0.000955240764521594	0.461225962822757
PI_PUFA_5	0.221778218509484	0.204604739494005	0.184916322176702	0.209689827176604	0.149773663893157	0.160407109766151	0.138803070929069	0.160551458482771	0.00194400718481773	0.00537252894713264	0.429653299584827
PI_PUFA_6	0.320799166175254	0.275691390367466	0.277721142745536	0.285481870484572	0.476459546611229	0.501721403510979	0.52417861623766	0.5237355511314	8.53733034998258e-06	0.000735425453462333	-0.804958257866764
PI_SFA	1.11632184510365	1.10994654982245	1.05380174594537	1.08316078735092	1.03243940933711	1.08705444475761	1.04497519160036	1.10941736162852	0.369738268237415	0.410220560380198	0.0298482676555576
PI_VeryLongChainFA	0.469436986163678	0.411334324010328	0.40100106627539	0.418990695551161	0.576793566348007	0.613515008694345	0.619944970198247	0.636033446634114	9.79425491771746e-05	0.00112730043689793	-0.524411489282217
PS_EtherLinked	0.375583527748981	0.491376436357643	0.378149609565003	0.329945112111111	0.239861852095595	0.246251205976652	0.185396343254594	0.224935063399195	0.0105939019966032	0.017695308829491	0.81311580459896
PS_LongChainFA	18.8390862497018	21.1693466757762	18.9323215425176	17.7808778534472	13.878198901551	13.8511695177724	11.8693565902827	12.8935927489129	0.000724187656920544	0.00275191309629807	0.547527115250191
PS_MUFA	1.06977390092546	1.20137054020319	1.11057428428325	1.03261421502687	0.941856838441366	0.963054381816884	0.833135489647141	0.906723029131012	0.00661825077025161	0.0133253131628568	0.276367771393954
PS_MediumChainFA	0.010762856522607	0.0158573266800528	0.0150476630277771	0.013189882757526	0.0079843705638811	0.00634977790566591	0.0057945028910191	0.00665333094810159	0.00461861054816396	0.0103239529900136	1.03443215056774
