class	nfur.NonD.2	nfur.NonD.3	nfur.NonD.4	nfur.Dexit.1	nfur.Dexit.2	nfur.Dexit.3	nfur.Dexit.4	pvalue	padj	FC
PE_PUFA_5	0.645908533813003	0.704931235859992	0.701644012509659	0.690798504216184	0.732897167738916	0.664106543547602	0.719706876330889	0.508319766078093	0.628167515803822	-0.0368823728650448
PE_PUFA_6	5.12693331752276	5.46065056521068	5.58568413991267	4.31046116599411	4.45369306279943	4.24550041190262	4.54989260131795	0.00721307142759381	0.0481074555796187	0.296393076466278
PE_SFA	2.92444166854525	3.13845668388189	3.1882349006338	2.55078506704992	2.73710585333719	2.48366809432406	2.78897868045687	0.0116339875998012	0.058945537172326	0.224056217188976
PE_VeryLongChainFA	5.51458888143399	5.85781916265958	5.99970163774519	4.64467929968043	4.81853664886563	4.56216190957996	4.90575237667047	0.00631385894917279	0.0457003123940126	0.291049919881473
LPC_LongChainFA	0.031168740593044	0.0279797335908048	0.0300766969140921	0.022573150097945	0.0281665151111212	0.0283422906742592	0.0269955324667778	0.10825043580926	0.306833034904338	0.165441645623002
LPC_MUFA	0.011235339326785	0.0111827161119121	0.0111893542802331	0.00919858547002844	0.0107985271830137	0.0136315207788728	0.0109470097344841	0.953196487829827	0.974135927789341	0.00756123677647167
LPC_PUFA	0.00279864906021689	0.00359459292718718	0.00395814142102063	0.00189046992236256	0.00204778232871176	0.00322404631899815	0.00268263016440986	0.0894761232730657	0.266673936029529	0.487408420669692
LPC_PUFA_2	0.000537882205783135	0.000531532852216808	0.000609844858172436	0.000406955309424062	0.000486428861601493	0.000479741235973131	0.000476665276558139	0.0358083584544117	0.136079177039965	0.275501018267235
LPC_PUFA_5	0.000263611961161777	0.000357521796626686	0.000368319568742156	0.00017737869571459	0.000188331028249554	0.000295143327713606	0.000226283390529064	0.0609141503087598	0.210430701066625	0.572513145737571
LPC_PUFA_6	0.00199715489327198	0.00270553827834369	0.00297997699410604	0.00130613591722391	0.00137302243886071	0.00244916175531141	0.00197968149732266	0.11102511131407	0.306833034904338	0.52720130824324
LPC_SFA	0.0398676146879573	0.0362347594720385	0.0371403026342638	0.0300336709600276	0.039750503486378	0.0314873779577038	0.0401009114846992	0.451337501145165	0.586352992940727	0.0949541123742066
LPC_VeryLongChainFA	0.0227328624819152	0.023032334920333	0.0222111014214254	0.0185495762544736	0.0244302978869823	0.0200006543813156	0.0267350189168154	0.911997962982337	0.962664516481356	0.0147112897745651
DG_LongChainFA	18.5040449266316	13.5463237691916	13.0903760380679	11.1980987866957	13.7565756900247	7.71808402936964	13.0752566641993	0.173389201385675	0.366043869591981	0.395758567859964
DG_MUFA	0.422418929002665	0.370331892451156	0.35798261143698	0.374495455147994	0.355639852561735	0.269422194602475	0.370816701191667	0.251876271178248	0.465306356488507	0.163021272613301
DG_PUFA	0.376103883665041	0.377893467398282	0.34932910252666	0.381057623803689	0.350538241943987	0.292654017842635	0.375640227754456	0.467093456355322	0.591651711383408	0.0715836369012103
DG_PUFA_2	0.0130337056087636	0.00936347576504707	0.00982644440167722	0.0127974109166176	0.0112458930952087	0.00742327946507399	0.0112769426709795	0.974237338252445	0.987227169429145	0.00745040456615773
DG_PUFA_4	0.0288939658674129	0.0352809691239931	0.0344675118336569	0.0578397753922736	0.0538616975551119	0.0499113029740349	0.0525005315619605	0.000990191174936862	0.0167498894436719	-0.703056473692166
DG_PUFA_6	0.334176212188864	0.333249022509241	0.305035146291326	0.310420437494798	0.285430651293667	0.235319435403526	0.311862753521516	0.124331543802838	0.311495310569454	0.181881472761906
DG_SFA	18.0870845974078	13.1659887146092	12.7246966984733	10.7807440854201	13.3747244401417	7.41105170121995	12.675626218	0.171122477100983	0.366043869591981	0.406390569474168
DG_VeryLongChainFA	0.381562483443848	0.367890305266987	0.341632374369021	0.338198377676036	0.324326844622664	0.25504388429542	0.346826482746842	0.109561785070041	0.306833034904338	0.202353305084167
PC_EtherLinked	0.324055664054547	0.392400854911675	0.397579033016448	0.401943254848518	0.426804326028432	0.403118904316115	0.429017591535553	0.198051186758518	0.401383738497264	-0.161118609176464
PC_LongChainFA	21.8207818704252	21.9627314561008	22.0611992610274	18.8163982805228	20.2443573759327	18.4180765910563	20.2539101525158	0.0124156723472605	0.0589744436494872	0.175582678991224
PC_MUFA	10.4048817748256	10.3289327429596	10.4562278325313	8.89013773633126	9.54698308601781	8.60167923076409	9.57582759575204	0.0133294443666346	0.061396228597832	0.183702886425971
PC_MediumChainFA	0.632779082254736	0.681700850917325	0.690297247724691	0.591574616264034	0.587013295607612	0.585770185085981	0.571258157386102	0.0358103097473591	0.136079177039965	0.194676141384007
PC_PUFA	6.30683201957116	6.44695859457815	6.66237974542331	5.72506382975166	5.87547024018063	5.48488333249831	5.84338524842371	0.00414527955584061	0.0395212622162357	0.175135152392173
PC_PUFA_2	0.361617640222467	0.308999788103005	0.326024094504461	0.338412685418782	0.359829525087977	0.336971267407734	0.352169063196376	0.450729248645212	0.586352992940727	-0.0621815485518668
PC_PUFA_3	0.127249213785615	0.0887317802220617	0.0953924114547238	0.0950303428722915	0.0864331997141078	0.092624847787598	0.0861242609758941	0.367051606974106	0.511851782202423	0.204834375434905
PC_PUFA_4	1.01044906037603	1.07920726745971	1.09263805692445	1.03646500849998	1.07430667789466	1.00712469381985	1.03360206435993	0.484256400130798	0.603335842785913	0.0314726428729231
PC_PUFA_5	2.19521902360312	2.37813713455996	2.43228227714684	1.92817729094467	1.99442599594175	1.79875443161583	2.01361465553796	0.0115144643819837	0.058945537172326	0.272157892085319
PC_PUFA_6	2.61229708158393	2.59188262423342	2.71604290539284	2.32697850201593	2.36047484154213	2.24940809186731	2.35787520435355	0.00313072248764326	0.0339907012944125	0.184164491616976
PC_SFA	9.19103916539962	9.26169083820616	9.16677638344199	7.84207522600138	8.50109822860296	7.81883153630682	8.45176183381145	0.0101041784289988	0.0548512543288505	0.175243956312787
PC_ShortChainFA	2.73590387019828e-05	3.84000664218308e-05	5.00484056897864e-05	3.4402322672766e-05	2.85541354988481e-05	2.7292502787519e-05	3.97228736142546e-05	0.46032120676579	0.58797330612101	0.248567303866085
PC_VeryLongChainFA	3.7717850445909	3.78444601768123	3.930304968334	3.4496054727308	3.51757155369524	3.30291977301996	3.47335932825553	0.00303074351964476	0.0339907012944125	0.156236441798159
MG_LongChainFA	218.558683523788	209.967619502748	193.64182067366	165.511049866439	226.649178841692	145.808521770598	283.763834026507	0.954909560793498	0.974135927789341	0.0136730049990099
MG_MUFA	11.3726130187072	11.6710198076549	9.93761913039168	9.64629400452548	13.129376240207	8.04820975473151	16.1707945322835	0.713159497774553	0.827482776043756	-0.0958136155852669
MG_PUFA	78.001247814809	78.9254309571857	67.6986796869528	59.6070266463532	77.3582535766567	53.7474721265329	98.863964099577	0.829939094808291	0.888385509935635	0.0486126987631147
MG_PUFA_2	78.001247814809	78.9254309571857	67.6986796869528	59.6070266463532	77.3582535766567	53.7474721265329	98.863964099577	0.829939094808291	0.888385509935635	0.0486126987631147
MG_SFA	129.184822690272	119.371168737908	116.005521856316	96.2577292155608	136.161549024828	84.0128398893335	168.729075394646	0.99137472597835	0.99137472597835	0.00273560499090592
TG_LongChainFA	3.36787324774128	3.73132967570399	3.3902268925136	3.36858188192204	4.42507391878336	3.86302226666326	4.58565973932066	0.135254542747263	0.311495310569454	-0.215785541379882
TG_MUFA	1.62013836958713	1.79654164515282	1.63349356344389	1.62302447675189	2.14110073013792	1.88865352311869	2.25911682128354	0.127095536207698	0.311495310569454	-0.232652906031059
TG_MediumChainFA	0.00653227997920682	0.00470365316020936	0.00713250058863526	0.00650711999920932	0.00665469773681438	0.00341888341740597	0.00679033343456097	0.8076910068729	0.888385509935635	0.067544512013112
TG_PUFA	1.72819886068718	1.89387729975888	1.77030825839841	1.65093155769755	2.22146571423854	1.95563541490806	2.34434983645318	0.210993936896037	0.41116767189997	-0.184795885569519
TG_PUFA_2	0.0753143586134721	0.0861472770753981	0.0779334118843944	0.0819951329554397	0.109444908968136	0.0947953662098693	0.108540146432055	0.0560277250579484	0.198051493228097	-0.306601851009916
