"","FattyAcid","D1m_PreD.padj","D1m_PreD.FC","D1m_NonD.padj","D1m_NonD.FC","D1m_Dexit.padj","D1m_Dexit.FC","D1m_D6d.padj","D1m_D6d.FC","D6d_PreD.padj","D6d_PreD.FC","D6d_NonD.padj","D6d_NonD.FC","D6d_Dexit.padj","D6d_Dexit.FC","NonD_PreD.padj","NonD_PreD.FC","NonD_Dexit.padj","NonD_Dexit.FC","PreDY_Dexit.padj","PreDY_Dexit.FC","NfurY_NfurO.padj","NfurY_NfurO.FC","Nfur_Ast.padj","Nfur_Ast.FC","D6d.mean.FC","D1m.mean.FC"
"TG(15:0/16:1/18:3)","TG(15:0/16:1/18:3)",0.256265927603231,-0.966928022402882,0.0016432080148487,2.15296817028808,0.00189890289904018,1.5941640081993,0.486766606797863,-0.941125198858022,0.975096591647817,-0.0258028235448599,0.12767399279473,3.0940933691461,0.141272988979649,2.53528920705732,0.115147245088706,-3.11989619269096,0.0995677702865664,-0.558804162088778,0.11515739084306,2.56109203060218,0.393380777223508,-1.28357608332697,0.0682232822657524,4.63527175127306,1.53414527280062,0.593020073942599
"TG(15:0/18:1/18:3)","TG(15:0/18:1/18:3)",0.22829286153621,-1.05662643507225,0.00615584985189603,2.06870072014254,0.00956282454528808,1.53707263139221,0.486766606797863,-0.833603309908256,0.79784507076144,-0.223023125163998,0.114510248505819,2.9023040300508,0.12535313332518,2.37067594130046,0.115147245088706,-3.12532715521479,0.10789358650914,-0.531628088750334,0.11515739084306,2.59369906646446,0.421179084338091,-1.04148202412912,0.0706600883292425,3.50720469005253,1.3396404524434,0.506037142535145
"TG(15:0/20:1/20:1)","TG(15:0/20:1/20:1)",0.67383860450198,0.224251478838246,0.00171816778981373,2.54480101235693,0.000689576357986887,1.70636501042185,0.655438344656317,-0.261705686087609,0.51188914089998,0.485957164925855,0.0690428841754027,2.80650669844453,0.085643498153373,1.96807069650946,0.123706691744703,-2.32054953351868,0.0495423494719326,-0.838436001935077,0.158212755962538,1.4821135315836,0.334534164465615,-1.88844779059564,0.233927787316887,0.846925340803115,1.64623193168519,1.38452624559759
"TG(15:0/22:6/22:6)","TG(15:0/22:6/22:6)",0.955556267658866,-0.029346368774165,0.0072750106054437,1.72709786011741,0.00717139013284224,1.46171738001261,0.486766606797863,-0.711399297080519,0.419603296605058,0.682052928306354,0.0965629106956874,2.43849715719793,0.101350712558074,2.17311667709313,0.119640849242815,-1.75644422889158,0.175385786320118,-0.265380480104798,0.122332904645546,1.49106374878678,0.339994548647189,-2.12325718555105,0.0585682995706964,3.31552623210725,1.56027504275214,0.848875745671622
"TG(16:0/14:0/14:0)","TG(16:0/14:0/14:0)",0.946340502051729,-0.0432408708023455,0.00562829771267156,1.94021480968495,0.00432796594649466,1.91600107615918,0.568400202323689,-0.303410379156516,0.680027046938997,0.26016950835417,0.0561833624398047,2.24362518884146,0.0531293507561528,2.2194114553157,0.121660629930983,-1.98345568048729,0.949263124731614,-0.0242137335257623,0.116150876528024,1.95924194696153,0.153386248544457,-1.32827048128614,0.318821127869632,0.571091671788155,1.25189734859782,0.948486969441302
"TG(16:0/14:0/16:0)","TG(16:0/14:0/16:0)",0.820051892715196,0.106343306996156,0.00482156397892226,1.59337942235824,0.0019038201371113,1.70868995285397,0.465799575780792,-0.372573004476913,0.333352963056991,0.47891631147307,0.0322213739517917,1.96595242683515,0.025362943838124,2.08126295733088,0.119640849242815,-1.48703611536208,0.659933413613765,0.115310530495731,0.109912399605724,1.60234664585781,0.160902502477988,-1.43222521977385,0.537460900921027,0.24272687986966,1.22243436915411,0.849861364677198
"TG(16:0/14:0/16:1)","TG(16:0/14:0/16:1)",0.869823111816569,-0.121959432896952,0.0144014342960994,2.01604225315363,0.0148855822860282,1.87918167328181,0.516954543418877,-0.575841607761686,0.598948172334022,0.453882174864734,0.0994473494829027,2.59188386091532,0.10096896531286,2.4550232810435,0.144826569822285,-2.13800168605058,0.704537191466207,-0.136860579871816,0.146485948922266,2.00114110617877,0.314694045062539,-2.10599844645441,0.125048508969926,1.85243649935693,1.52288301789003,0.947041410128339
"TG(16:0/14:0/18:3)","TG(16:0/14:0/18:3)",0.457659527438698,-0.479566296778745,0.00409989211579611,2.16696885650478,0.00368551337942395,1.747575510548,0.486766606797863,-0.875916938469928,0.674423845975762,0.396350641691183,0.117537365772518,3.0428857949747,0.123894019437007,2.62349244901793,0.115147245088706,-2.64653515328352,0.0972754777120266,-0.419393345956774,0.117537060581483,2.22714180732675,0.339994548647189,-1.972898415774,0.0699690252284327,3.27520490062197,1.71961821833294,0.843701279863018
"TG(16:0/16:0/16:0)","TG(16:0/16:0/16:0)",0.2188323724762,0.392179781073589,0.00201324086139248,1.271030096167,0.000275677837741918,1.35144270595176,0.355805752058486,-0.359273798507515,0.0774337839585487,0.751453579581105,0.0226841024921959,1.63030389467451,0.0159184495953309,1.71071650445928,0.128767441936321,-0.878850315093406,0.707395683697308,0.0804126097847672,0.111474826724975,0.959262924878173,0.181748701223569,-1.46096589938036,0.590168373510063,-0.148346277284234,1.19087873712781,0.831604938620294
"TG(16:0/16:0/16:1)","TG(16:0/16:0/16:1)",0.863604792450373,-0.111537728627086,0.00967811012024426,1.78157380616806,0.00938398394640817,1.71969491533162,0.486766606797863,-0.628153800562293,0.51188914089998,0.516616071935207,0.0879985129373306,2.40972760673035,0.0877913170248453,2.34784871589391,0.131870399694206,-1.89311153479515,0.842841822508817,-0.0618788908364419,0.126347355093996,1.8312326439587,0.317911955311126,-2.11074840389514,0.0946267035191644,1.99597128788092,1.46317183933278,0.835018038770487
