m.z	class	FattyAcid	nfur.D6d.1	nfur.D6d.2	nfur.D6d.3	nfur.D6d.4	nfur.NonD.2	nfur.NonD.3	nfur.NonD.4	pvalue	padj	FC
661.5301	SM	(d18:1/13:0)	0.00195705296361142	0.00226221283235156	0.00193309781949386	0.00214667654648286	0.000656224290612018	0.000745518619912071	0.000796397044121865	6.13013509501136e-05	0.0010161877792115	1.5016237447512
741.5928	SM	(d18:2/19:1)	0.0285477158658998	0.027561462560441	0.0327117377831563	0.0371284626497035	0.0183377368082324	0.0283595410559685	0.027193766793481	0.153161458544711	0.17841240171019	0.354335077548902
731.6094	SM	(d18:1/18:0)	0.0141480420297859	0.016334441164084	0.0139661945221189	0.0143658764838151	0.0106158678384031	0.00994874990573404	0.0106915661615607	0.00200374568364916	0.0069089151172223	0.496994058842058
781.6235	SM	(d18:1/22:3)	0.0126777901191915	0.0181767802081489	0.0155176984718	0.0135850542595449	0.00744595964700875	0.00993491562100208	0.0114283405643158	0.0247641355602883	0.0480781190382174	0.64236808096281
807.6368	SM	(d18:1/24:4)	0.0046622744492167	0.00568370323106976	0.00504261253810419	0.00497027779157173	0.00467048709275274	0.00852160555792165	0.00911699120331797	0.232311479035101	0.262110595455834	-0.547011421108057
825.6841	SM	(d19:0/24:3)	2.10009193809978e-05	1.90075135047549e-05	5.87215830644417e-05	0.000165403642104358	1.86111013455807e-06	2.10093719226431e-05	1.22175483015831e-05	0.211977878915338	0.241699645006642	2.49717978336952
799.6709	SM	(d18:1/23:1)	0.00199558277295627	0.00181816180317177	0.00194048980473621	0.00224130302938955	0.00158261666810002	0.0023172063454621	0.0024091314902963	0.736292820187365	0.753781960809393	-0.0732434403693394
759.6405	SM	(d20:0/18:1)	0.0388448892524925	0.0573413282760062	0.0533132221842931	0.0449158055648548	0.0215436719435831	0.0286699426439108	0.0331550529100646	0.0115878280383274	0.0261484496571682	0.806526672964592
809.6537	SM	(d18:1/24:3)	0.102914913597507	0.11171919000789	0.0726586353116072	0.0810681697818718	0.0335251392009472	0.0336999421130121	0.0372574918050488	0.00758249268638401	0.0187452356084245	1.40282013612648
805.6805	SM	(t18:0/22:0)	0.00632758344309513	0.00771418488392203	0.00613679244796897	0.0070901774875217	0.000454108872186062	0.000489891898810618	0.000567103064932845	0.000380383033903777	0.00260230297797664	3.75853574411145
717.5917	SM	(d17:0/18:1)	0.0155424215324675	0.0172816953164366	0.0182757982788545	0.0173014846895925	0.00995739271179497	0.00549765207301885	0.00768245542869185	0.00862896875374503	0.0206346314540288	1.14875534711505
707.5717	SM	(t18:0/15:0)	0.00149868174631428	0.00201588374190959	0.00173618656604803	0.00181309420945279	0.000576965421312498	0.000166250457151654	0.000222967130911379	0.000680548632822056	0.00371286659172539	2.45504805762365
785.6569	SM	(d18:1/22:1)	0.0157611966739169	0.0182910948796821	0.0182174724060448	0.0176914363017096	0.0129342365532514	0.0223634806838601	0.0240228015393109	0.578188413084143	0.603387908085389	-0.177013673451878
773.6562	SM	(d18:1/21:0)	0.00461673424148918	0.0067312868644957	0.006445009279797	0.00595301494752379	0.00212404730439848	0.00227544171956188	0.00263198808112709	0.00280037546531839	0.00900717780262854	1.34075007397167
703.5769	SM	(d18:1/16:0)	0.523189221942379	0.51313189317905	0.472467921950139	0.548861789197773	0.287505622997681	0.299377906777717	0.322550535827805	0.000131561504318194	0.00140624251547806	0.762919734402717
819.6355	SM	(d19:0/24:6)	0.010973739051675	0.0148712215358974	0.0126021855533395	0.0132255919931586	0.00228223668240834	0.00236156963612897	0.00224889674326616	0.000929310529297355	0.00445036486807956	2.49122406444887
837.6841	SM	(d20:0/24:4)	0.0642287956988779	0.0340065103644515	0.0569666230624409	0.106480614365711	0.0115275907511295	0.00990580929451406	0.00973021913228628	0.0356829914723942	0.0615174772984077	2.6548454927573
854.5696	PC	(20:4/22:6)	0.0233104040905567	0.0242201688951587	0.0259392381763659	0.0255473958266634	0.0384581625425975	0.0386155106888005	0.0398847631944227	8.29515016900064e-06	0.000287538267137529	-0.655282268544798
690.5451	PC	(12:0e/18:1)	0.00530455587288816	0.00599394392315022	0.00477973120004911	0.00538061887391326	0.00196170493005586	0.00256906836314812	0.00208100998817233	0.000163355180987219	0.00156457962234425	1.28342391237468
698.478	PC	(10:0/20:4)	8.36542348699046e-05	4.52142389894782e-05	6.54755054460924e-05	0.000129372818842512	0.000187562481477973	0.000178566726311576	0.000182017292762616	0.0100115618802477	0.0230747763122286	-1.17486679526875
852.553	PC	(18:2/22:6)	0.00648063914608885	0.0060054009291777	0.00651913235933361	0.00677961130746921	0.0167094517548804	0.0137457071075935	0.0149368739704069	0.00795848637710855	0.0194892478893965	-1.23095665288018
714.5094	PC	(11:0/20:3)	0.000567917782242449	0.000630556727725711	0.000771104762660696	0.000728516046007259	0.000486182491468352	0.000561921974156719	0.000581476492462617	0.0637869121645186	0.0919470205448411	0.312402790217433
846.6009	PC	(19:1/22:6)	0.00899552617971645	0.00863097132463046	0.00946853192820997	0.00926680236100009	0.0115590787842595	0.0144346430202145	0.0138757305492323	0.0365595779062091	0.0627776019026937	-0.547896408154173
728.5242	PC	(14:0/18:3)	0.00580217001952565	0.00525792449204832	0.00588107789648145	0.00692841327822952	0.0104366594215276	0.0097894080096945	0.00988988453767593	0.000268844814301166	0.00203284412217198	-0.750391837469826
678.5084	PC	(16:0/12:0)	0.0105482191003969	0.00872285770828658	0.00825482128125316	0.0110114653916005	0.0228484570370003	0.0284921601843207	0.0262589859786997	0.00426045118644114	0.0120058984305099	-1.42482890099314
822.603	PC	(19:1/20:4)	0.0187711970130438	0.0180975296954592	0.0177135757208203	0.0196937313073048	0.0160637359313563	0.0152885467922272	0.0154429817161092	0.0027057443446384	0.00890210543923015	0.25149673945752
828.5547	PC	(18:3/22:6)	0.0190884197790129	0.0143208522654165	0.0172761442986832	0.0225300262305473	0.0353076759115027	0.0202744826389705	0.0222822594860501	0.240440746978442	0.270574313179395	-0.503853731677198
888.6513	PC	(22:1/22:6)	0.00258165429036601	0.00196493354837466	0.00332427180347064	0.00502686781434366	0.00269726519882581	0.00380861950664658	0.00391006531999443	0.761177413771493	0.773744022017721	-0.106715041810406
814.5764	PC	(18:3e/22:6)	0.000814144399756739	0.00102312989611825	0.00118384970364787	0.000996662284019756	0.000933975872468467	0.000610018418161083	0.000658973595803649	0.0982131229306443	0.124499576420905	0.451914861713393
730.5401	PC	(16:1/16:1)	0.0617603993596182	0.0658331681717566	0.0656325957991701	0.062729383651783	0.117783482129814	0.103175314176542	0.108798189758299	0.00604150503862211	0.0158773699490618	-0.780547451017922
808.5861	PC	(16:0/22:5)	0.621339143547304	0.566862511524408	0.501759678264639	0.621363166398352	0.376633840803854	0.371458813340203	0.369371981654349	0.00530693864146426	0.0142067736302553	0.633453147326348
860.618	PC	(20:1/22:6)	0.0541602909183573	0.0606626388069567	0.0618342558832746	0.0566853035225942	0.0635556125146766	0.0731042201572383	0.0781630514949071	0.0732002179821999	0.100156488731201	-0.295736154616699
818.6074	PC	(18:1e/22:6)	0.0157952519957459	0.01955941672253	0.0180620784619048	0.0156238116885762	0.0133561888286949	0.0153364444614834	0.0159390633307626	0.109715837297059	0.135494343481469	0.214337993626485
866.6643	PC	(20:0/22:4)	0.00184926300861861	0.00110066660977577	0.00233789530364289	0.00413799102911149	0.000978773504295818	0.00094740383645488	0.000880085441010074	0.115094179896715	0.140924975953079	1.33292990127884
820.5882	PC	(17:0/22:6)	0.0366709982757185	0.0377731267392586	0.0410836288334698	0.0394218323737188	0.0463077358589364	0.0402974171116547	0.040368716534758	0.205290839682123	0.234695893641896	-0.127770226098665
