m.z	class	FattyAcid	nfur.NonD.2	nfur.NonD.3	nfur.NonD.4	nfur.Dexit.1	nfur.Dexit.2	nfur.Dexit.3	nfur.Dexit.4	pvalue	padj	FC
387.3483	MG	(20:0)	0.847786629092633	0.978821537115656	0.782206974799839	0.688374766915196	0.939762268333791	0.5528941132685	1.16436085801427	0.832540469699896	0.897062356101638	0.0562569456249314
329.2698	MG	(16:1)	0.552071851033054	0.538841445607356	0.421165733545294	0.512324137499768	0.713449496890341	0.347801329406379	0.778629680371207	0.474692126990193	0.602684862671627	-0.222442536976051
357.3009	MG	(18:1)	10.8205411676741	11.1321783620475	9.51645339684639	9.13396986702571	12.4159267433167	7.70040842532513	15.3921648519123	0.729676619417857	0.829790561923737	-0.0894400863922664
496.3416	LPC	(16:0)	0.0151433601112684	0.0142382088068445	0.0155007304185008	0.00988983119525181	0.0119668884366201	0.0121626252277355	0.0116638694508134	0.00280161361818288	0.0280829812877839	0.389519923372169
662.5143	LPC	(28:1)	0.00105044358412236	0.00146611175463456	0.0010958749828529	0.00152907807513453	0.0019179434531852	0.0025849829050316	0.00190374608132552	0.0314521496629322	0.0960774207097505	-0.720359411047064
636.4989	LPC	(26:0)	0.0157733174850804	0.0139953891195706	0.0137105693745805	0.0113215380391854	0.0165984799022212	0.00973883403409437	0.0181722403013014	0.815377861144087	0.893711958827103	0.0542966347473577
568.3426	LPC	(22:6)	0.00199715489327198	0.00270553827834369	0.00297997699410604	0.00130613591722391	0.00137302243886071	0.00244916175531141	0.00197968149732266	0.11102511131407	0.214582165813292	0.52720130824324
570.3581	LPC	(22:5)	0.000263611961161777	0.000357521796626686	0.000368319568742156	0.00017737869571459	0.000188331028249554	0.000295143327713606	0.000226283390529064	0.0609141503087598	0.145049717033566	0.572513145737571
664.5293	LPC	(28:0)	0.00256948509724523	0.00395980795344385	0.00343649318491029	0.00368902087087743	0.00356592183660946	0.00420688983000192	0.00375421898010976	0.357890781010659	0.495824827288203	-0.195501002725771
520.3413	LPC	(18:2)	0.000537882205783135	0.000531532852216808	0.000609844858172436	0.000406955309424062	0.000486428861601493	0.000479741235973131	0.000476665276558139	0.0358083584544117	0.0995677702865664	0.275501018267235
550.3883	LPC	(20:1)	0.00161728460636792	0.00136930819951011	0.00138411409320299	0.0015838581128141	0.00215427839330031	0.00229014348938955	0.00205438917091773	0.0273712683973276	0.0886993735281818	-0.471927664505474
468.3107	LPC	(14:0)	0.000456034381593082	0.000447743711902538	0.00037588253231357	0.000370644745454335	0.000408153987279178	0.000359960592484319	0.000352320365467144	0.15515961840749	0.274072932514869	0.194441383817759
522.3578	LPC	(18:1)	0.00856761113629471	0.00834729615776741	0.0087093652041772	0.00608564928207981	0.00672630533652823	0.00875639438445166	0.00698887448224087	0.0893371300606505	0.185116841616059	0.258692826544575
552.4041	LPC	(20:0)	0.00484656815173672	0.00304564386256346	0.00349675980772506	0.00423621145292093	0.00642446009579187	0.00429342574422502	0.0054594137207805	0.146188240875514	0.263628166599777	-0.426849331446263
580.4357	LPC	(22:0)	0.00107884946103346	0.000547966017713567	0.000619867316233535	0.000526424656337706	0.00078659922785622	0.000725642529162666	0.000698848666226966	0.742341484933086	0.839761627312756	0.129967034898641
774.5478	PE	(18:1e/22:6)	0.0421449709942986	0.0512817756254516	0.0486721222272216	0.0608652856928289	0.063700801260994	0.0720538272538587	0.0588362100239176	0.00929502687177337	0.0460477768015439	-0.431142953322524
816.5546	PE	(20:1/22:6)	0.064133865332018	0.0753801849713205	0.0802256510358808	0.0723314691513109	0.075467684133469	0.0659136020035604	0.0740630181739275	0.819918502778592	0.893711958827103	0.0258879074190843
818.5737	PE	(20:0/22:6)	0.0415061081847778	0.0373463266606158	0.0393977665770529	0.0373322912203468	0.0422081045984977	0.0450659116887265	0.0430361555402549	0.275015730415419	0.418840211339383	-0.0885074829256192
772.5882	PE	(20:0/18:1)	0.0211232698414113	0.0232430975282734	0.0219317016696094	0.0263179810112584	0.0296461129162693	0.0259752830335649	0.0286821642920495	0.0040244754516455	0.0327273381067776	-0.323556091689244
718.4835	PE	(14:1e/22:6)	0.0109091331705622	0.0143780890543162	0.0137391250254265	0.0114070847447399	0.0107540212219508	0.0109755568814758	0.0111058674807779	0.207499310848674	0.332461721099548	0.234052037544088
696.498	PE	(16:1e/18:3)	0.00194366875428899	0.000450440103825728	0.000586092382891646	0.00120653759850913	0.000946352076054972	0.00110422369789201	0.000956339320957615	0.91182119173756	0.949263124731614	-0.0845556747514135
