m.z	class	FattyAcid	nfur.D1m.1	nfur.D1m.2	nfur.D1m.3	nfur.D1m.4	nfur.NonD.2	nfur.NonD.3	nfur.NonD.4	pvalue	padj	FC
818.5737	PE	(20:0/22:6)	0.0620696699402627	0.0701747454376409	0.0703621664248178	0.0734186440090348	0.0415061081847778	0.0373463266606158	0.0393977665770529	0.000281961666481728	0.00140204693034372	0.80791997995789
772.5882	PE	(20:0/18:1)	0.0576066978332695	0.062973452653758	0.0574327086716914	0.0607352998256977	0.0211232698414113	0.0232430975282734	0.0219317016696094	1.02245022732908e-05	0.000244820026654907	1.43341335218999
718.4835	PE	(14:1e/22:6)	0.0180227730764447	0.0192612188957653	0.0186264249234582	0.0182306096100155	0.0109091331705622	0.0143780890543162	0.0137391250254265	0.0288625798882684	0.038632832086471	0.51078615343704
696.498	PE	(16:1e/18:3)	0.00159951223123115	0.00167846670027838	0.00526804680199331	0.00253427979441621	0.00194366875428899	0.000450440103825728	0.000586092382891646	0.136936488791273	0.160816421441522	1.47947850498997
762.5062	PE	(18:1/20:5)	0.00249552063344365	0.00269634091247684	0.00202968049939809	0.00220791929404164	0.00442809108976931	0.003961099246694	0.00412129952235219	0.000308881982986693	0.00142624193349873	-0.822928515827959
790.5386	PE	(18:1/22:5)	0.0456740631512058	0.0533825498515609	0.045998027617515	0.0476869812392269	0.127066811113274	0.11907494095679	0.125518243662737	1.68364053827168e-05	0.000259160382855391	-1.36235275877796
788.5238	PE	(18:1/22:6)	0.253087530836821	0.288068882243352	0.253648009584854	0.269053934290981	1.08754239365405	1.06751784331733	1.11410324354321	4.01630275105512e-06	0.000159453138465856	-2.0346529408697
604.436	PE	(16:1e/11:0)	0.00110344350560324	0.00118404180405069	0.0010585103597709	0.00110528218378542	0.000508655537493034	0.000445520833056368	0.000630382275277122	0.00256583856456396	0.00528927357208419	1.07510100274235
744.4992	PE	(16:2e/22:6)	0.0122334823481792	0.0111508887223919	0.0122128189442201	0.0128544815170035	0.0093861686767541	0.0113100077132705	0.0113644962004459	0.144768755226526	0.169093044722582	0.18070424704206
784.493	PE	(18:3/22:6)	0.00593237629102079	0.00596696457163624	0.0117134278530609	0.0061989329724057	0.0303585792872781	0.0131136922597572	0.0150233373095104	0.150704900706953	0.174607022055636	-1.38748709946554
810.5087	PE	(20:4/22:6)	0.0174481216241902	0.0201029849105738	0.0167935555384907	0.0165378526937086	0.0489525669774923	0.0455484953299153	0.044174038561871	0.000231668642483359	0.0012481148113791	-1.38324458033849
672.4995	PE	(16:1e/16:1)	0.00582444950056664	0.00620823207490052	0.00462814340481582	0.00669928441832643	0.00163686861069278	0.00163363148538637	0.00203098120287175	0.00159951202793382	0.00382994268910819	1.72454210347544
748.5303	PE	(16:1e/22:5)	0.15627583291463	0.175513665720594	0.160444409795667	0.184960217502953	0.147476241442978	0.160717371215117	0.17012485370878	0.341736674223511	0.369144126792815	0.0865604695894094
702.5098	PE	(15:0/18:1)	0.00284440464476225	0.00313545290811576	0.00275164794812198	0.0034615845866397	0.0113141771125866	0.0103551483428619	0.0098123976758134	0.00130481725260023	0.00333434985049702	-1.7834882135927
786.5084	PE	(18:2/22:6)	0.0339554327352981	0.0357415835529879	0.0391604897838101	0.0325967230680806	0.0669924847971252	0.0631707260310584	0.068124615327222	3.99842419447227e-05	0.000447738500132558	-0.902298295087939
742.5414	PE	(18:1/18:1)	0.110448351783828	0.116087997004217	0.115750058692809	0.11860473311646	0.109172828046168	0.0931674643928808	0.0979697962356898	0.0716418885979309	0.0879705241758068	0.202935594815501
766.5396	PE	(18:1/20:3)	0.00178398081419266	0.00167729663399066	0.0047753748379894	0.00228174456092592	0.00364395727566715	0.00131993678422422	0.00164763227973329	0.696545367763899	0.718208261976652	0.254822058462166
812.5261	PE	(20:3/22:6)	0.0177672663097715	0.0191173850268116	0.0252973600738419	0.0189878036154204	0.0509227293121965	0.0335053378917923	0.0358026768206986	0.0574668931767781	0.0727631741368328	-0.981828120966598
740.5249	PE	(16:0/20:3)	0.00112162705634587	0.000849462340658745	0.00308574626249516	0.00159153441910123	0.00572186376254195	0.00221772854198584	0.00253759343829048	0.238129315583409	0.265203449654908	-1.07121615214337
