Compound	m.z	Retention.time..min.	Mode	Intensity	M27_KV_E	M12_EX_E	M9_EX_E	Y8_KV_E	M21_DEV_E	AY10_KV_E	AO13_KV_E	AO10_KV_E	M7_EX_E	AY3_KV_E	AY1_KV_E	M29_KV_E	AY2_KV_E	M8_EX_E	M18_D6_E	O9_KV_E	MA_M2_E	AO8_KV_E	M24_DEV_E	M4_D6_E	M5_D6_E	Y9_KV_E	O13_KV_E	O11_KV_E	M28_KV_E	O8_KV_E	M10_DEV_E	Y6_KV_E	M19_D6_E	M13_DEV_E	Y7_KV_E	AO3_KV_E	QC1	QC2	QC3	LipidIon	FattyAcid	Class	IonFormula	RT_LS	mz_LS	mscore	tscore
16.43_780.5551m/z	780.5551	16.43	Accucore_C18_pos	68190720.94	55911350.28	253923029.20	203529757.20	69526358.62	488321991.60	66855083.26	136240498.60	305552549.80	380189680.30	62299253.33	56178525.12	52200213.01	95960643.20	198668757.30	72978170.19	33309721.11	36530861.79	211143038.10	214885445.70	36345302.82	39032401.67	66635953.08	11255662.79	25308271.70	60490533.89	23938608.04	253015195.10	96382505.92	65315447.35	256352460.70	54476693.92	261252792.50	169105549.00	159615223.90	165088724.40	PC(25:1/11:4)+H| PC(16:0/20:5)+H	(25:1/11:4)| (16:0/20:5)	PC| PC	C44 H79 O8 N1 P1| C44 H79 O8 N1 P1	16.0493352260443| 16.4226381995176	780.55378347| 780.55378347	19.8829895933128| 19.8829895933128	0.413458406011358| 0.177181260655308
17.85_834.6030m/z	834.6030	17.85	Accucore_C18_pos	61818286.01	63581230.44	189217703.40	161066475.50	34186936.10	290838557.40	19776366.33	47272682.30	96682823.41	269040757.30	18886240.94	14432574.76	60055341.57	21923258.12	153437766.90	78142998.45	49569763.25	40949091.39	66425976.16	146262402.20	55411827.47	64381425.10	35078084.56	14220002.69	32922263.42	71873394.57	20060731.92	169826763.40	44124401.53	64169147.27	170993992.10	25315986.65	81568816.84	105701259.20	100221099.80	104281409.80	PC(18:0/22:6)+H| PC(18:0/22:6)+H	(18:0/22:6)| (18:0/22:6)	PC| PC	C48 H85 O8 N1 P1| C48 H85 O8 N1 P1	17.4641179703237| 17.8344122428226	834.60073347| 834.60073347	28.8105695344638| 26.576863287707	0.111781313318198| 0.691109646651531
17.98_804.5759m/z	804.5759	17.98	Accucore_C18_neg	56942369.17	54850007.29	128219496.90	114921043.20	52300222.77	220040055.60	23883285.76	50864348.00	75953728.44	189213761.50	24245748.10	19974514.48	53374950.59	29087354.43	114188074.70	74682819.57	49957273.91	40786521.08	68692470.84	127022812.50	51972273.07	59034731.04	52370474.94	16034945.47	34166136.30	61979246.26	25134772.02	138703694.50	60347418.12	61396926.96	136711341.50	41280555.91	75171091.28	92201649.04	90316680.26	92626334.08	PS(16:0/21:0)-H	(16:0/21:0)	PS	C43 H83 O10 N1 P1	17.96	804.5760	3.543485042	1.435571141
17.94_734.5719m/z	734.5719	17.94	Accucore_C18_pos	55990324.05	16810265.62	207486377.10	177678582.30	74784144.74	405538996.30	49555797.00	138380664.70	184116714.00	339085842.60	42914526.86	38372519.63	16116260.56	57588056.27	182648197.00	42150297.91	52268318.02	13590075.48	160404191.80	233722484.10	30797528.01	35841540.74	76204432.02	16207487.01	36407988.48	19384089.11	24399367.04	248574288.80	109483056.30	36764803.15	243941619.10	54392591.83	186976439.10	157519987.70	147735123.00	150800096.00	PC(16:0/16:0)+H	(16:0/16:0)	PC	C40 H81 O8 N1 P1	17.92	734.5694	13.05428065	0.52364498
17.18_834.6019m/z	834.6019	17.18	Accucore_C18_pos	53738437.45	49771942.08	143286346.40	126260373.90	57266989.34	285625665.10	23710959.16	55297657.54	95669927.22	198739969.40	19438622.43	18892434.21	45575600.25	29295605.56	126163062.80	60346216.90	43856502.31	29773629.02	73511095.24	147257548.20	39751476.48	43512507.15	54678622.34	10137702.24	31058952.75	52798252.56	20195899.34	152873783.40	63482748.53	50470335.76	161230774.20	39658371.20	86771609.07	96755086.04	91218418.46	94707777.60	PC(18:1/22:5)+H| PC(18:0/22:6)+H	(18:1/22:5)| (18:0/22:6)	PC| PC	C48 H85 O8 N1 P1| C48 H85 O8 N1 P1	17.1617065229849| 17.4641179703237	834.60073347| 834.60073347	28.1337545661372| 28.8105695344638	0.327752020015135| 0.111781313318198
22.13_920.7700m/z	920.7700	22.13	Accucore_C18_pos	51399942.09	60255454.73	46711999.56	63573340.16	101503284.70	157763302.60	2208589.97	3160234.86	19363175.09	100131281.50	2081944.63	1907085.65	53867830.38	3917026.63	63069793.77	146842334.30	875974398.10	34181800.69	21828225.60	42919782.66	20500548.13	102188505.30	37195257.70	48271883.44	87351439.09	83968108.01	78261742.35	48932053.80	82064262.78	203988782.90	46397486.44	81993939.79	36848496.73	109064657.10	104944052.00	107893947.70	TG(16:1/18:1/22:6)+NH4| TG(16:1/18:1/22:6)+NH4	(16:1/18:1/22:6)| (16:1/18:1/22:6)	TG| TG	C59 H102 O6 N1| C59 H102 O6 N1	21.622| 22.1754988929558	920.77016547| 920.77016547	23.0117625901289| 47.0331531699573	0.550009921377043| 0.333892033473466
16.47_806.5698m/z	806.5698	16.47	Accucore_C18_pos	40553691.37	41327405.66	147543125.20	118479358.40	40678670.55	292922098.20	18401081.91	40119798.89	77279804.88	211353294.70	15590326.17	15188416.74	37293873.97	24159024.24	116338027.40	43243992.56	23827890.23	23940820.95	59476828.28	130057210.90	25072859.47	26330150.27	39567142.89	7401703.15	17461109.58	41532922.48	14218698.06	137837173.80	50342101.12	40428712.19	147343722.40	28722449.38	70381053.82	78878393.74	75686655.27	77999732.44	PC(16:0/22:6)+H| PC(18:1/20:5)+H| PC(16:0/22:6)+H	(16:0/22:6)| (18:1/20:5)| (16:0/22:6)	PC| PC| PC	C46 H81 O8 N1 P1| C46 H81 O8 N1 P1| C46 H81 O8 N1 P1	16.1627126387999| 16.4579068974461| 16.825189814392	806.56943347| 806.56943347| 806.56943347	24.8290069050821| 19.8829895933128| 19.8829895933128	0.557352986743072| 0.197492574292122| 0.170222810842797
21.80_944.7667m/z	944.7667	21.80	Accucore_C18_pos	40152040.35	45903533.37	36010396.04	49936895.55	75276771.72	127632525.10	1604199.95	2581367.26	15062121.82	80460083.34	1450990.32	1287620.99	42287849.77	2868150.09	44526859.53	112954754.50	643531884.00	24808901.60	16911684.40	32833279.77	15162697.57	73705889.17	26762965.95	29793430.57	56747095.85	63139533.22	54397110.70	38016230.93	56181564.80	166426750.00	34903921.72	60902978.97	28312273.41	79820370.03	76745835.49	78534068.09	TG(18:1/18:3/22:6)+NH4	(18:1/18:3/22:6)	TG	C61 H102 O6 N1	21.81	944.7702	38.19970015	0.423892577
22.79_922.7882m/z	922.7882	22.79	Accucore_C18_pos	39763070.68	55916103.98	32001778.58	46051678.09	60773794.45	118032130.70	1964250.61	4077449.52	19782923.95	74156794.40	2289028.15	2111617.10	44350740.98	3290914.10	48255890.84	127895749.50	636743022.40	25474155.80	23113399.39	31652163.08	21869759.65	72210589.09	23276920.89	33373435.27	56369397.93	75897340.86	47732746.05	39279473.63	34789665.39	139928731.90	42194792.48	39987286.14	39538855.21	82690948.97	80162403.57	82509385.05	TG(16:1/18:1/22:5)+NH4| TG(16:0/18:1/22:6)+NH4	(16:1/18:1/22:5)| (16:0/18:1/22:6)	TG| TG	C59 H104 O6 N1| C59 H104 O6 N1	22.5199703478848| 22.8016686936797	922.785815469999| 922.785815469999	46.6516468664012| 63.3963864938531	0.351226331350771| 0.0546466161405518
22.83_896.7732m/z	896.7732	22.83	Accucore_C18_pos	36175049.89	44662288.62	25878241.22	38624341.58	57060161.59	102491186.40	2048825.03	4062081.86	17058953.00	61939510.59	2489737.22	2297753.70	35268664.32	3160038.26	38227779.33	108786589.40	554009917.80	19289236.66	19189041.24	26316522.62	16150108.22	58543101.80	21148715.93	26408368.64	45944329.15	60346141.98	41046599.68	35249906.65	39706287.53	120344039.40	37081435.45	44461211.28	33067966.44	70729639.38	68236787.87	70550950.76	TG(16:0/18:1/20:5)+NH4| TG(16:0/16:0/22:6)+NH4	(16:0/18:1/20:5)| (16:0/16:0/22:6)	TG| TG	C57 H102 O6 N1| C57 H102 O6 N1	22.445866827905| 22.8494250146413	896.77016547| 896.77016547	58.8364049175646| 57.5250791129421	0.0896115132991646| 0.204661820034167
