"LipidIon"	"FattyAcid"	"Class"	"nfur.PreD.Y.1"	"nfur.PreD.Y.2"	"nfur.PreD.Y.3"	"nfur.PreD.Y.4"	"nfur.NonD.2"	"nfur.NonD.3"	"nfur.NonD.4"	"nfur.D6d.1"	"nfur.D6d.2"	"nfur.D6d.3"	"nfur.D6d.4"	"nfur.D1m.1"	"nfur.D1m.2"	"nfur.D1m.3"	"nfur.D1m.4"	"Ast.PreD.Y.1"	"Ast.PreD.Y.2"	"Ast.PreD.Y.3"	"Ast.PreD.Y.4"	"nfur.Dexit.1"	"nfur.Dexit.2"	"nfur.Dexit.3"	"nfur.Dexit.4"
"TG(18:1/17:1/22:5)+NH4| TG(17:0/18:1/22:6)+NH4"	"(18:1/17:1/22:5)"	"TG"	0.0280696368011061	0.00948605791061015	0.0160110563931339	0.0249689572072667	0.00525259474523415	0.00473697401998137	0.00456931612372269	0.042780742759471	0.0139395651820735	0.0350426038290829	0.0605853140568704	0.0231014526965186	0.0217046151057992	0.0230579605722617	0.0287774196828896	0.00134421034331057	0.00156143664578752	0.0011090037769447	0.00233733244527938	0.00523456773488199	0.00683765087859973	0.00667393350095811	0.0071245183627978
"TG(16:0/18:1/18:3)+NH4"	"(16:0/18:1/18:3)"	"TG"	0.318265110407063	0.114053647465934	0.279866125175094	0.417102916558697	0.0507350379069488	0.0390856130582861	0.0367987744084148	0.305451556384116	0.0715359299634382	0.286951765566945	0.571194961120305	0.154487035044731	0.153709857090653	0.190930668903105	0.199040444977396	0.0308107156679206	0.035934469317754	0.0315658997898286	0.0356450875059042	0.0475980224993939	0.0582012713403684	0.0620228185557815	0.0610795736407362
"TG(20:4/20:4/22:6)+NH4"	"(20:4/20:4/22:6)"	"TG"	0.0146384997243493	0.00656014820229707	0.00566808446530009	0.0118355552328128	0.00792562884737702	0.00597980518130197	0.00623910538864933	0.0340582379464563	0.011553774843728	0.0253580673087455	0.0489008980166855	0.021169898868926	0.0231392898597975	0.017533895963777	0.0278044435264779	0.00131681035547775	0.00114991016385646	0.00107230987117744	0.0016129230309309	0.00662405243866149	0.00863264264942055	0.00783457071986351	0.00894828366921274
"TG(15:0/16:0/18:1)+NH4| TG(16:0/16:0/17:1)+NH4"	"(16:0/16:0/17:1)"	"TG"	0.0558406039907959	0.0202981573071022	0.0348710955187984	0.0577628070979152	0.00941876956766375	0.0102042305635748	0.00979489734089285	0.0473627633663607	0.0194190304898757	0.055384588769337	0.0854534818573957	0.039267806044028	0.0304625850957446	0.0313716868377428	0.0335583743166802	0.0192856321113037	0.0178126434611242	0.0194727078329462	0.0160422214134269	0.0116627634114796	0.0148598225610358	0.010077365425273	0.0120112497479866
"TG(18:0/16:0/18:1)+NH4"	"(18:0/16:0/18:1)"	"TG"	0.0681193208257333	0.0217955590234858	0.035771287224763	0.0502049121337832	0.0104819443580204	0.0129678444649035	0.0114177377805089	0.0827345079535122	0.0380578963224369	0.0682197390667379	0.144578261366813	0.055437728630103	0.05124127332424	0.0444424993193699	0.0534331088242272	0.020387474550781	0.0287941803911907	0.0206129669466279	0.0195069743911424	0.0140892948096326	0.0179487719150157	0.0135205065363994	0.0165143446880577
"TG(16:0/17:0/18:1)+NH4"	"(16:0/17:0/18:1)"	"TG"	0.0125063528611169	0.00411258940494161	0.0114365137150284	0.0144256304412891	0.00223370656597048	0.00202133304973858	0.00207348574740946	0.010236617352932	0.00471380302068187	0.0118188235213964	0.0183906340486146	0.00790536660898266	0.00569660809670841	0.00768282176977335	0.00709494350561166	0.00410131554739759	0.00446734011268588	0.00395517581641763	0.00386577569822289	0.00296849316213483	0.00359336001054528	0.00267081831108296	0.00262112110950138
"TG(15:0/14:0/22:6)+NH4"	"(15:0/14:0/22:6)"	"TG"	0.0214325792434124	0.00825815922807306	0.0111409603132119	0.0283117452948752	0.0027191964494796	0.00322414815303448	0.00244585549481901	0.0187711046164672	0.00412348698822355	0.0187178288358125	0.037875078773892	0.0117155256789728	0.0127018040952411	0.00919669214743285	0.013361536199496	0.00196392512729	0.000880321519988652	0.00107335527445337	0.00146774506307415	0.00271356662687116	0.00354369517571291	0.00347724891322593	0.00375518634993387
"TG(16:0/22:5/22:6)+NH4"	"(16:0/22:5/22:6)"	"TG"	0.148963056392136	0.0600553311475079	0.0403910448338189	0.102529285145439	0.0517962769145874	0.0639082725090978	0.0685533985473845	0.333255199477903	0.101242969166014	0.218419599795812	0.412928744208804	0.218200884717206	0.221908204569602	0.11825357181867	0.264765907883567	0.0142267279634513	0.0148055132904852	0.0140738734419548	0.0144245721006259	0.0491805066340585	0.071476498385814	0.0581592516010079	0.0767112779419673
"TG(17:0/22:6/22:6)+NH4"	"(17:0/22:6/22:6)"	"TG"	0.0347797913864372	0.0135709820345458	0.0125854455994773	0.0262278678705848	0.0103924931131773	0.0110147453807104	0.010626150968261	0.057537322353082	0.0194517427046255	0.048165373034993	0.0831444948316064	0.0371023420320386	0.0387181468202924	0.0289705637342393	0.044344051529526	0.00165358024856113	0.00154107421445574	0.00146005471108037	0.00236170489858156	0.0100544619915095	0.0131892380320388	0.0118003005387854	0.0134107969133212
"TG(16:0/14:0/14:0)+NH4"	"(16:0/14:0/14:0)"	"TG"	0.0267152324262785	0.0139849210439218	0.00784223866524592	0.0245753638813218	0.00394296890485389	0.00527411623948539	0.00465061565202432	0.0215972096826514	0.0110699967017189	0.0216741683818041	0.0332258690355877	0.0213666862794427	0.0191356314988488	0.0139139120392249	0.0165425363367195	0.0136564157602693	0.0121120221866323	0.0127643820599526	0.0106832725981567	0.00461094307197961	0.0058430755994285	0.00327375082193076	0.00507545190354769
